dose,agegroup,n,UF
(D1+D2) only,1,0,AC
(D1+D2) only,2,108,AC
(D1+D2) only,3,53394,AC
(D1+D2) only,4,102977,AC
(D1+D2) only,5,73146,AC
(D1+D2) only,6,60502,AC
(D1+D2) only,7,38190,AC
(D1+D2) only,8,18412,AC
(D1+D2) only,9,8269,AC
(D1+D2) only,10,3375,AC
(D1+D2) only,11,781,AC
(D1+D2+DU) only,1,0,AC
(D1+D2+DU) only,2,0,AC
(D1+D2+DU) only,3,0,AC
(D1+D2+DU) only,4,0,AC
(D1+D2+DU) only,5,1,AC
(D1+D2+DU) only,6,4,AC
(D1+D2+DU) only,7,1,AC
(D1+D2+DU) only,8,0,AC
(D1+D2+DU) only,9,0,AC
(D1+D2+DU) only,10,0,AC
(D1+D2+DU) only,11,0,AC
(D1+D2+R) only,1,0,AC
(D1+D2+R) only,2,1,AC
(D1+D2+R) only,3,331,AC
(D1+D2+R) only,4,14206,AC
(D1+D2+R) only,5,18925,AC
(D1+D2+R) only,6,21563,AC
(D1+D2+R) only,7,19030,AC
(D1+D2+R) only,8,20309,AC
(D1+D2+R) only,9,11135,AC
(D1+D2+R) only,10,3554,AC
(D1+D2+R) only,11,729,AC
(D1+DU) only,1,0,AC
(D1+DU) only,2,0,AC
(D1+DU) only,3,0,AC
(D1+DU) only,4,5,AC
(D1+DU) only,5,5,AC
(D1+DU) only,6,3,AC
(D1+DU) only,7,1,AC
(D1+DU) only,8,2,AC
(D1+DU) only,9,0,AC
(D1+DU) only,10,0,AC
(D1+DU) only,11,0,AC
(D1+R) only,1,0,AC
(D1+R) only,2,0,AC
(D1+R) only,3,176,AC
(D1+R) only,4,784,AC
(D1+R) only,5,732,AC
(D1+R) only,6,721,AC
(D1+R) only,7,628,AC
(D1+R) only,8,790,AC
(D1+R) only,9,304,AC
(D1+R) only,10,97,AC
(D1+R) only,11,20,AC
(D2+DU) only,1,0,AC
(D2+DU) only,2,0,AC
(D2+DU) only,3,0,AC
(D2+DU) only,4,39,AC
(D2+DU) only,5,23,AC
(D2+DU) only,6,10,AC
(D2+DU) only,7,3,AC
(D2+DU) only,8,0,AC
(D2+DU) only,9,0,AC
(D2+DU) only,10,11,AC
(D2+DU) only,11,2,AC
(D2+R+DU) only,1,0,AC
(D2+R+DU) only,2,0,AC
(D2+R+DU) only,3,0,AC
(D2+R+DU) only,4,3,AC
(D2+R+DU) only,5,4,AC
(D2+R+DU) only,6,0,AC
(D2+R+DU) only,7,0,AC
(D2+R+DU) only,8,0,AC
(D2+R+DU) only,9,0,AC
(D2+R+DU) only,10,2,AC
(D2+R+DU) only,11,0,AC
(R+DU) only,1,0,AC
(R+DU) only,2,0,AC
(R+DU) only,3,1,AC
(R+DU) only,4,1120,AC
(R+DU) only,5,1424,AC
(R+DU) only,6,516,AC
(R+DU) only,7,232,AC
(R+DU) only,8,36,AC
(R+DU) only,9,8,AC
(R+DU) only,10,2,AC
(R+DU) only,11,1,AC
D1 only,1,11,AC
D1 only,2,3379,AC
D1 only,3,27846,AC
D1 only,4,41688,AC
D1 only,5,21562,AC
D1 only,6,13892,AC
D1 only,7,7133,AC
D1 only,8,2920,AC
D1 only,9,1275,AC
D1 only,10,581,AC
D1 only,11,166,AC
DU only,1,0,AC
DU only,2,0,AC
DU only,3,12,AC
DU only,4,3233,AC
DU only,5,3266,AC
DU only,6,1459,AC
DU only,7,739,AC
DU only,8,150,AC
DU only,9,47,AC
DU only,10,17,AC
DU only,11,3,AC
R+DU,1,0,AC
R+DU,2,0,AC
R+DU,3,0,AC
R+DU,4,0,AC
R+DU,5,1,AC
R+DU,6,2,AC
R+DU,7,0,AC
R+DU,8,1,AC
R+DU,9,1,AC
R+DU,10,0,AC
R+DU,11,0,AC
(D1+D2) only,1,1,AL
(D1+D2) only,2,43,AL
(D1+D2) only,3,174896,AL
(D1+D2) only,4,387576,AL
(D1+D2) only,5,288893,AL
(D1+D2) only,6,233613,AL
(D1+D2) only,7,175206,AL
(D1+D2) only,8,82522,AL
(D1+D2) only,9,36872,AL
(D1+D2) only,10,15378,AL
(D1+D2) only,11,3418,AL
(D1+D2+DU) only,1,0,AL
(D1+D2+DU) only,2,0,AL
(D1+D2+DU) only,3,4,AL
(D1+D2+DU) only,4,2,AL
(D1+D2+DU) only,5,1,AL
(D1+D2+DU) only,6,1,AL
(D1+D2+DU) only,7,1,AL
(D1+D2+DU) only,8,0,AL
(D1+D2+DU) only,9,0,AL
(D1+D2+DU) only,10,0,AL
(D1+D2+DU) only,11,0,AL
(D1+D2+R) only,1,0,AL
(D1+D2+R) only,2,2,AL
(D1+D2+R) only,3,57,AL
(D1+D2+R) only,4,46074,AL
(D1+D2+R) only,5,69579,AL
(D1+D2+R) only,6,94773,AL
(D1+D2+R) only,7,107123,AL
(D1+D2+R) only,8,120148,AL
(D1+D2+R) only,9,71636,AL
(D1+D2+R) only,10,23674,AL
(D1+D2+R) only,11,4151,AL
(D1+DU) only,1,0,AL
(D1+DU) only,2,0,AL
(D1+DU) only,3,0,AL
(D1+DU) only,4,1,AL
(D1+DU) only,5,5,AL
(D1+DU) only,6,2,AL
(D1+DU) only,7,1,AL
(D1+DU) only,8,5,AL
(D1+DU) only,9,2,AL
(D1+DU) only,10,0,AL
(D1+DU) only,11,0,AL
(D1+R) only,1,0,AL
(D1+R) only,2,1,AL
(D1+R) only,3,871,AL
(D1+R) only,4,1608,AL
(D1+R) only,5,1807,AL
(D1+R) only,6,2202,AL
(D1+R) only,7,2458,AL
(D1+R) only,8,2944,AL
(D1+R) only,9,1763,AL
(D1+R) only,10,789,AL
(D1+R) only,11,118,AL
(D2+DU) only,1,0,AL
(D2+DU) only,2,0,AL
(D2+DU) only,3,0,AL
(D2+DU) only,4,12,AL
(D2+DU) only,5,16,AL
(D2+DU) only,6,28,AL
(D2+DU) only,7,2,AL
(D2+DU) only,8,0,AL
(D2+DU) only,9,0,AL
(D2+DU) only,10,0,AL
(D2+DU) only,11,0,AL
(D2+R+DU) only,1,0,AL
(D2+R+DU) only,2,0,AL
(D2+R+DU) only,3,0,AL
(D2+R+DU) only,4,0,AL
(D2+R+DU) only,5,3,AL
(D2+R+DU) only,6,3,AL
(D2+R+DU) only,7,0,AL
(D2+R+DU) only,8,0,AL
(D2+R+DU) only,9,0,AL
(D2+R+DU) only,10,0,AL
(D2+R+DU) only,11,0,AL
(R+DU) only,1,0,AL
(R+DU) only,2,0,AL
(R+DU) only,3,0,AL
(R+DU) only,4,1028,AL
(R+DU) only,5,6893,AL
(R+DU) only,6,12884,AL
(R+DU) only,7,1839,AL
(R+DU) only,8,133,AL
(R+DU) only,9,39,AL
(R+DU) only,10,15,AL
(R+DU) only,11,3,AL
D1 only,1,6,AL
D1 only,2,25699,AL
D1 only,3,98962,AL
D1 only,4,121361,AL
D1 only,5,67604,AL
D1 only,6,43299,AL
D1 only,7,25848,AL
D1 only,8,10396,AL
D1 only,9,4497,AL
D1 only,10,2698,AL
D1 only,11,787,AL
D1+D2+DU+R,1,0,AL
D1+D2+DU+R,2,0,AL
D1+D2+DU+R,3,0,AL
D1+D2+DU+R,4,1,AL
D1+D2+DU+R,5,0,AL
D1+D2+DU+R,6,2,AL
D1+D2+DU+R,7,0,AL
D1+D2+DU+R,8,2,AL
D1+D2+DU+R,9,0,AL
D1+D2+DU+R,10,0,AL
D1+D2+DU+R,11,0,AL
DU only,1,0,AL
DU only,2,1,AL
DU only,3,0,AL
DU only,4,2334,AL
DU only,5,8480,AL
DU only,6,16858,AL
DU only,7,4141,AL
DU only,8,454,AL
DU only,9,134,AL
DU only,10,45,AL
DU only,11,6,AL
R+DU,1,0,AL
R+DU,2,0,AL
R+DU,3,0,AL
R+DU,4,1,AL
R+DU,5,4,AL
R+DU,6,1,AL
R+DU,7,3,AL
R+DU,8,8,AL
R+DU,9,0,AL
R+DU,10,0,AL
R+DU,11,0,AL
(D1+D2) only,1,11,AM
(D1+D2) only,2,396,AM
(D1+D2) only,3,228639,AM
(D1+D2) only,4,469550,AM
(D1+D2) only,5,328094,AM
(D1+D2) only,6,252549,AM
(D1+D2) only,7,147497,AM
(D1+D2) only,8,66882,AM
(D1+D2) only,9,27584,AM
(D1+D2) only,10,11413,AM
(D1+D2) only,11,2787,AM
(D1+D2+DU) only,1,0,AM
(D1+D2+DU) only,2,3,AM
(D1+D2+DU) only,3,586,AM
(D1+D2+DU) only,4,58714,AM
(D1+D2+DU) only,5,72754,AM
(D1+D2+DU) only,6,89567,AM
(D1+D2+DU) only,7,70720,AM
(D1+D2+DU) only,8,34188,AM
(D1+D2+DU) only,9,11613,AM
(D1+D2+DU) only,10,3429,AM
(D1+D2+DU) only,11,595,AM
(D1+D2+R) only,1,0,AM
(D1+D2+R) only,2,3,AM
(D1+D2+R) only,3,176,AM
(D1+D2+R) only,4,45046,AM
(D1+D2+R) only,5,51772,AM
(D1+D2+R) only,6,55478,AM
(D1+D2+R) only,7,57250,AM
(D1+D2+R) only,8,80687,AM
(D1+D2+R) only,9,41779,AM
(D1+D2+R) only,10,13582,AM
(D1+D2+R) only,11,2351,AM
(D1+DU) only,1,0,AM
(D1+DU) only,2,1,AM
(D1+DU) only,3,85,AM
(D1+DU) only,4,713,AM
(D1+DU) only,5,720,AM
(D1+DU) only,6,817,AM
(D1+DU) only,7,805,AM
(D1+DU) only,8,376,AM
(D1+DU) only,9,135,AM
(D1+DU) only,10,49,AM
(D1+DU) only,11,7,AM
(D1+R) only,1,0,AM
(D1+R) only,2,3,AM
(D1+R) only,3,562,AM
(D1+R) only,4,2270,AM
(D1+R) only,5,2205,AM
(D1+R) only,6,2253,AM
(D1+R) only,7,2226,AM
(D1+R) only,8,2600,AM
(D1+R) only,9,1367,AM
(D1+R) only,10,495,AM
(D1+R) only,11,120,AM
(D2+DU) only,1,0,AM
(D2+DU) only,2,0,AM
(D2+DU) only,3,9,AM
(D2+DU) only,4,1453,AM
(D2+DU) only,5,955,AM
(D2+DU) only,6,857,AM
(D2+DU) only,7,718,AM
(D2+DU) only,8,425,AM
(D2+DU) only,9,127,AM
(D2+DU) only,10,44,AM
(D2+DU) only,11,10,AM
(D2+R+DU) only,1,0,AM
(D2+R+DU) only,2,0,AM
(D2+R+DU) only,3,0,AM
(D2+R+DU) only,4,1,AM
(D2+R+DU) only,5,2,AM
(D2+R+DU) only,6,2,AM
(D2+R+DU) only,7,0,AM
(D2+R+DU) only,8,4,AM
(D2+R+DU) only,9,0,AM
(D2+R+DU) only,10,0,AM
(D2+R+DU) only,11,0,AM
(R+DU) only,1,0,AM
(R+DU) only,2,0,AM
(R+DU) only,3,6,AM
(R+DU) only,4,738,AM
(R+DU) only,5,295,AM
(R+DU) only,6,182,AM
(R+DU) only,7,82,AM
(R+DU) only,8,35,AM
(R+DU) only,9,10,AM
(R+DU) only,10,2,AM
(R+DU) only,11,1,AM
D1 only,1,93,AM
D1 only,2,82468,AM
D1 only,3,135025,AM
D1 only,4,173669,AM
D1 only,5,92506,AM
D1 only,6,60133,AM
D1 only,7,30469,AM
D1 only,8,11771,AM
D1 only,9,5867,AM
D1 only,10,2809,AM
D1 only,11,952,AM
D1+D2+DU+R,1,0,AM
D1+D2+DU+R,2,0,AM
D1+D2+DU+R,3,0,AM
D1+D2+DU+R,4,44,AM
D1+D2+DU+R,5,42,AM
D1+D2+DU+R,6,59,AM
D1+D2+DU+R,7,62,AM
D1+D2+DU+R,8,48,AM
D1+D2+DU+R,9,26,AM
D1+D2+DU+R,10,6,AM
D1+D2+DU+R,11,0,AM
DU only,1,2,AM
DU only,2,4,AM
DU only,3,101,AM
DU only,4,22269,AM
DU only,5,12679,AM
DU only,6,6637,AM
DU only,7,3945,AM
DU only,8,1712,AM
DU only,9,541,AM
DU only,10,152,AM
DU only,11,27,AM
R+DU,1,0,AM
R+DU,2,0,AM
R+DU,3,0,AM
R+DU,4,5,AM
R+DU,5,0,AM
R+DU,6,5,AM
R+DU,7,2,AM
R+DU,8,2,AM
R+DU,9,1,AM
R+DU,10,0,AM
R+DU,11,0,AM
(D1+D2) only,2,69,AP
(D1+D2) only,3,31683,AP
(D1+D2) only,4,80744,AP
(D1+D2) only,5,63663,AP
(D1+D2) only,6,53660,AP
(D1+D2) only,7,37857,AP
(D1+D2) only,8,17176,AP
(D1+D2) only,9,6769,AP
(D1+D2) only,10,2745,AP
(D1+D2) only,11,671,AP
(D1+D2+DU) only,2,0,AP
(D1+D2+DU) only,3,0,AP
(D1+D2+DU) only,4,3,AP
(D1+D2+DU) only,5,2,AP
(D1+D2+DU) only,6,1,AP
(D1+D2+DU) only,7,0,AP
(D1+D2+DU) only,8,0,AP
(D1+D2+DU) only,9,1,AP
(D1+D2+DU) only,10,0,AP
(D1+D2+DU) only,11,0,AP
(D1+D2+R) only,2,0,AP
(D1+D2+R) only,3,67,AP
(D1+D2+R) only,4,5482,AP
(D1+D2+R) only,5,7969,AP
(D1+D2+R) only,6,9414,AP
(D1+D2+R) only,7,8798,AP
(D1+D2+R) only,8,14205,AP
(D1+D2+R) only,9,7751,AP
(D1+D2+R) only,10,2698,AP
(D1+D2+R) only,11,461,AP
(D1+DU) only,2,0,AP
(D1+DU) only,3,0,AP
(D1+DU) only,4,2,AP
(D1+DU) only,5,5,AP
(D1+DU) only,6,3,AP
(D1+DU) only,7,1,AP
(D1+DU) only,8,2,AP
(D1+DU) only,9,0,AP
(D1+DU) only,10,0,AP
(D1+DU) only,11,0,AP
(D1+R) only,2,0,AP
(D1+R) only,3,109,AP
(D1+R) only,4,589,AP
(D1+R) only,5,541,AP
(D1+R) only,6,468,AP
(D1+R) only,7,461,AP
(D1+R) only,8,647,AP
(D1+R) only,9,236,AP
(D1+R) only,10,108,AP
(D1+R) only,11,17,AP
(D2+DU) only,2,0,AP
(D2+DU) only,3,1,AP
(D2+DU) only,4,7,AP
(D2+DU) only,5,7,AP
(D2+DU) only,6,19,AP
(D2+DU) only,7,1,AP
(D2+DU) only,8,0,AP
(D2+DU) only,9,0,AP
(D2+DU) only,10,0,AP
(D2+DU) only,11,0,AP
(R+DU) only,2,0,AP
(R+DU) only,3,1,AP
(R+DU) only,4,324,AP
(R+DU) only,5,618,AP
(R+DU) only,6,491,AP
(R+DU) only,7,154,AP
(R+DU) only,8,15,AP
(R+DU) only,9,0,AP
(R+DU) only,10,0,AP
(R+DU) only,11,0,AP
D1 only,2,2113,AP
D1 only,3,35374,AP
D1 only,4,56522,AP
D1 only,5,31794,AP
D1 only,6,17973,AP
D1 only,7,9875,AP
D1 only,8,3075,AP
D1 only,9,973,AP
D1 only,10,482,AP
D1 only,11,128,AP
DU only,2,1,AP
DU only,3,9,AP
DU only,4,1431,AP
DU only,5,2245,AP
DU only,6,4549,AP
DU only,7,844,AP
DU only,8,123,AP
DU only,9,24,AP
DU only,10,12,AP
DU only,11,4,AP
R+DU,2,0,AP
R+DU,3,0,AP
R+DU,4,0,AP
R+DU,5,2,AP
R+DU,6,0,AP
R+DU,7,0,AP
R+DU,8,0,AP
R+DU,9,0,AP
R+DU,10,0,AP
R+DU,11,0,AP
(D1+D2) only,1,26,BA
(D1+D2) only,2,387,BA
(D1+D2) only,3,553305,BA
(D1+D2) only,4,1514971,BA
(D1+D2) only,5,1329008,BA
(D1+D2) only,6,1087468,BA
(D1+D2) only,7,800413,BA
(D1+D2) only,8,440971,BA
(D1+D2) only,9,202864,BA
(D1+D2) only,10,91085,BA
(D1+D2) only,11,22426,BA
(D1+D2+DU) only,1,0,BA
(D1+D2+DU) only,2,0,BA
(D1+D2+DU) only,3,9,BA
(D1+D2+DU) only,4,17,BA
(D1+D2+DU) only,5,34,BA
(D1+D2+DU) only,6,65,BA
(D1+D2+DU) only,7,41,BA
(D1+D2+DU) only,8,13,BA
(D1+D2+DU) only,9,14,BA
(D1+D2+DU) only,10,1,BA
(D1+D2+DU) only,11,0,BA
(D1+D2+R) only,1,2,BA
(D1+D2+R) only,2,8,BA
(D1+D2+R) only,3,492,BA
(D1+D2+R) only,4,159610,BA
(D1+D2+R) only,5,271258,BA
(D1+D2+R) only,6,377279,BA
(D1+D2+R) only,7,474116,BA
(D1+D2+R) only,8,514191,BA
(D1+D2+R) only,9,339297,BA
(D1+D2+R) only,10,137380,BA
(D1+D2+R) only,11,32356,BA
(D1+DU) only,1,0,BA
(D1+DU) only,2,1,BA
(D1+DU) only,3,49,BA
(D1+DU) only,4,61,BA
(D1+DU) only,5,80,BA
(D1+DU) only,6,157,BA
(D1+DU) only,7,59,BA
(D1+DU) only,8,29,BA
(D1+DU) only,9,2,BA
(D1+DU) only,10,1,BA
(D1+DU) only,11,0,BA
(D1+R) only,1,0,BA
(D1+R) only,2,11,BA
(D1+R) only,3,3550,BA
(D1+R) only,4,11380,BA
(D1+R) only,5,14888,BA
(D1+R) only,6,20158,BA
(D1+R) only,7,24388,BA
(D1+R) only,8,25810,BA
(D1+R) only,9,17456,BA
(D1+R) only,10,8418,BA
(D1+R) only,11,2079,BA
(D2+DU) only,1,0,BA
(D2+DU) only,2,0,BA
(D2+DU) only,3,15,BA
(D2+DU) only,4,158,BA
(D2+DU) only,5,560,BA
(D2+DU) only,6,2485,BA
(D2+DU) only,7,477,BA
(D2+DU) only,8,25,BA
(D2+DU) only,9,6,BA
(D2+DU) only,10,0,BA
(D2+DU) only,11,1,BA
(D2+R+DU) only,1,0,BA
(D2+R+DU) only,2,0,BA
(D2+R+DU) only,3,0,BA
(D2+R+DU) only,4,5,BA
(D2+R+DU) only,5,14,BA
(D2+R+DU) only,6,69,BA
(D2+R+DU) only,7,9,BA
(D2+R+DU) only,8,0,BA
(D2+R+DU) only,9,1,BA
(D2+R+DU) only,10,0,BA
(D2+R+DU) only,11,0,BA
(R+DU) only,1,0,BA
(R+DU) only,2,0,BA
(R+DU) only,3,3,BA
(R+DU) only,4,3540,BA
(R+DU) only,5,10215,BA
(R+DU) only,6,81094,BA
(R+DU) only,7,13878,BA
(R+DU) only,8,642,BA
(R+DU) only,9,140,BA
(R+DU) only,10,28,BA
(R+DU) only,11,6,BA
D1 only,1,189,BA
D1 only,2,171943,BA
D1 only,3,495153,BA
D1 only,4,650709,BA
D1 only,5,446261,BA
D1 only,6,304790,BA
D1 only,7,192716,BA
D1 only,8,87635,BA
D1 only,9,41981,BA
D1 only,10,21323,BA
D1 only,11,5405,BA
D1+D2+DU+R,1,0,BA
D1+D2+DU+R,2,0,BA
D1+D2+DU+R,3,0,BA
D1+D2+DU+R,4,10,BA
D1+D2+DU+R,5,10,BA
D1+D2+DU+R,6,27,BA
D1+D2+DU+R,7,5,BA
D1+D2+DU+R,8,9,BA
D1+D2+DU+R,9,4,BA
D1+D2+DU+R,10,1,BA
D1+D2+DU+R,11,0,BA
DU only,1,2,BA
DU only,2,9,BA
DU only,3,108,BA
DU only,4,10106,BA
DU only,5,22191,BA
DU only,6,83217,BA
DU only,7,24706,BA
DU only,8,2244,BA
DU only,9,478,BA
DU only,10,165,BA
DU only,11,45,BA
R+DU,1,0,BA
R+DU,2,0,BA
R+DU,3,0,BA
R+DU,4,10,BA
R+DU,5,14,BA
R+DU,6,42,BA
R+DU,7,17,BA
R+DU,8,9,BA
R+DU,9,1,BA
R+DU,10,1,BA
R+DU,11,0,BA
(D1+D2) only,1,336,CE
(D1+D2) only,2,871,CE
(D1+D2) only,3,430111,CE
(D1+D2) only,4,1089624,CE
(D1+D2) only,5,800292,CE
(D1+D2) only,6,597304,CE
(D1+D2) only,7,443619,CE
(D1+D2) only,8,215930,CE
(D1+D2) only,9,121578,CE
(D1+D2) only,10,56113,CE
(D1+D2) only,11,14242,CE
(D1+D2+DU) only,1,1,CE
(D1+D2+DU) only,2,4,CE
(D1+D2+DU) only,3,12,CE
(D1+D2+DU) only,4,770,CE
(D1+D2+DU) only,5,987,CE
(D1+D2+DU) only,6,1879,CE
(D1+D2+DU) only,7,2087,CE
(D1+D2+DU) only,8,367,CE
(D1+D2+DU) only,9,90,CE
(D1+D2+DU) only,10,29,CE
(D1+D2+DU) only,11,9,CE
(D1+D2+R) only,1,14,CE
(D1+D2+R) only,2,24,CE
(D1+D2+R) only,3,421,CE
(D1+D2+R) only,4,146458,CE
(D1+D2+R) only,5,226259,CE
(D1+D2+R) only,6,293135,CE
(D1+D2+R) only,7,323780,CE
(D1+D2+R) only,8,299825,CE
(D1+D2+R) only,9,200250,CE
(D1+D2+R) only,10,81113,CE
(D1+D2+R) only,11,15753,CE
(D1+DU) only,1,2,CE
(D1+DU) only,2,3,CE
(D1+DU) only,3,28,CE
(D1+DU) only,4,81,CE
(D1+DU) only,5,737,CE
(D1+DU) only,6,981,CE
(D1+DU) only,7,210,CE
(D1+DU) only,8,36,CE
(D1+DU) only,9,19,CE
(D1+DU) only,10,6,CE
(D1+DU) only,11,1,CE
(D1+R) only,1,2,CE
(D1+R) only,2,10,CE
(D1+R) only,3,874,CE
(D1+R) only,4,5301,CE
(D1+R) only,5,21183,CE
(D1+R) only,6,25195,CE
(D1+R) only,7,13480,CE
(D1+R) only,8,18058,CE
(D1+R) only,9,9140,CE
(D1+R) only,10,5676,CE
(D1+R) only,11,1197,CE
(D2+DU) only,1,0,CE
(D2+DU) only,2,0,CE
(D2+DU) only,3,0,CE
(D2+DU) only,4,38,CE
(D2+DU) only,5,155,CE
(D2+DU) only,6,102,CE
(D2+DU) only,7,108,CE
(D2+DU) only,8,10,CE
(D2+DU) only,9,2,CE
(D2+DU) only,10,1,CE
(D2+DU) only,11,1,CE
(D2+R+DU) only,1,0,CE
(D2+R+DU) only,2,0,CE
(D2+R+DU) only,3,0,CE
(D2+R+DU) only,4,1,CE
(D2+R+DU) only,5,3,CE
(D2+R+DU) only,6,5,CE
(D2+R+DU) only,7,1,CE
(D2+R+DU) only,8,0,CE
(D2+R+DU) only,9,1,CE
(D2+R+DU) only,10,0,CE
(D2+R+DU) only,11,0,CE
(R+DU) only,1,0,CE
(R+DU) only,2,0,CE
(R+DU) only,3,2,CE
(R+DU) only,4,249,CE
(R+DU) only,5,4368,CE
(R+DU) only,6,3849,CE
(R+DU) only,7,902,CE
