dose,agegroup,n,UF
D1 only,4,39557,RR
D1 only,5,23200,RR
D1 only,6,14455,RR
D1 only,7,7829,RR
D1 only,8,2536,RR
D1 only,9,935,RR
D1 only,10,297,RR
D1 only,11,70,RR
D1+D2+DU+R,1,0,RR
D1+D2+DU+R,2,0,RR
D1+D2+DU+R,3,0,RR
D1+D2+DU+R,4,0,RR
D1+D2+DU+R,5,0,RR
D1+D2+DU+R,6,2,RR
D1+D2+DU+R,7,0,RR
D1+D2+DU+R,8,0,RR
D1+D2+DU+R,9,0,RR
D1+D2+DU+R,10,0,RR
D1+D2+DU+R,11,0,RR
DU only,1,0,RR
DU only,2,1,RR
DU only,3,7,RR
DU only,4,877,RR
DU only,5,3672,RR
DU only,6,2508,RR
DU only,7,759,RR
DU only,8,152,RR
DU only,9,34,RR
DU only,10,4,RR
DU only,11,0,RR
(D1+D2) only,1,24,RS
(D1+D2) only,2,235,RS
(D1+D2) only,3,477296,RS
(D1+D2) only,4,1277477,RS
(D1+D2) only,5,987961,RS
(D1+D2) only,6,759335,RS
(D1+D2) only,7,653861,RS
(D1+D2) only,8,395298,RS
(D1+D2) only,9,125018,RS
(D1+D2) only,10,68064,RS
(D1+D2) only,11,13793,RS
(D1+D2+DU) only,1,0,RS
(D1+D2+DU) only,2,1,RS
(D1+D2+DU) only,3,3,RS
(D1+D2+DU) only,4,253,RS
(D1+D2+DU) only,5,496,RS
(D1+D2+DU) only,6,461,RS
(D1+D2+DU) only,7,303,RS
(D1+D2+DU) only,8,1151,RS
(D1+D2+DU) only,9,4123,RS
(D1+D2+DU) only,10,1086,RS
(D1+D2+DU) only,11,297,RS
(D1+D2+R) only,1,1,RS
(D1+D2+R) only,2,4,RS
(D1+D2+R) only,3,2063,RS
(D1+D2+R) only,4,253663,RS
(D1+D2+R) only,5,375372,RS
(D1+D2+R) only,6,486440,RS
(D1+D2+R) only,7,660086,RS
(D1+D2+R) only,8,715602,RS
(D1+D2+R) only,9,482113,RS
(D1+D2+R) only,10,165163,RS
(D1+D2+R) only,11,27862,RS
(D1+DU) only,1,0,RS
(D1+DU) only,2,0,RS
(D1+DU) only,3,8,RS
(D1+DU) only,4,68,RS
(D1+DU) only,5,103,RS
(D1+DU) only,6,90,RS
(D1+DU) only,7,27,RS
(D1+DU) only,8,76,RS
(D1+DU) only,9,145,RS
(D1+DU) only,10,60,RS
(D1+DU) only,11,13,RS
(D1+R) only,1,1,RS
(D1+R) only,2,8,RS
(D1+R) only,3,5028,RS
(D1+R) only,4,9779,RS
(D1+R) only,5,10329,RS
(D1+R) only,6,10033,RS
(D1+R) only,7,10568,RS
(D1+R) only,8,13342,RS
(D1+R) only,9,9680,RS
(D1+R) only,10,4888,RS
(D1+R) only,11,891,RS
(D2+DU) only,1,0,RS
(D2+DU) only,2,0,RS
(D2+DU) only,3,3,RS
(D2+DU) only,4,156,RS
(D2+DU) only,5,506,RS
(D2+DU) only,6,359,RS
(D2+DU) only,7,77,RS
(D2+DU) only,8,30,RS
(D2+DU) only,9,245,RS
(D2+DU) only,10,71,RS
(D2+DU) only,11,30,RS
(D2+R+DU) only,1,0,RS
(D2+R+DU) only,2,0,RS
(D2+R+DU) only,3,0,RS
(D2+R+DU) only,4,6,RS
(D2+R+DU) only,5,27,RS
(D2+R+DU) only,6,25,RS
(D2+R+DU) only,7,7,RS
(D2+R+DU) only,8,1,RS
(D2+R+DU) only,9,0,RS
(D2+R+DU) only,10,0,RS
(D2+R+DU) only,11,0,RS
(R+DU) only,1,0,RS
(R+DU) only,2,0,RS
(R+DU) only,3,12,RS
(R+DU) only,4,12055,RS
(R+DU) only,5,51288,RS
(R+DU) only,6,66578,RS
(R+DU) only,7,13830,RS
(R+DU) only,8,735,RS
(R+DU) only,9,196,RS
(R+DU) only,10,54,RS
(R+DU) only,11,9,RS
D1 only,1,72,RS
D1 only,2,140910,RS
D1 only,3,260774,RS
D1 only,4,298918,RS
D1 only,5,162719,RS
D1 only,6,90070,RS
D1 only,7,57113,RS
D1 only,8,30258,RS
D1 only,9,12523,RS
D1 only,10,8973,RS
D1 only,11,2274,RS
D1+D2+DU+R,1,0,RS
D1+D2+DU+R,2,0,RS
D1+D2+DU+R,3,0,RS
D1+D2+DU+R,4,2,RS
D1+D2+DU+R,5,14,RS
D1+D2+DU+R,6,10,RS
D1+D2+DU+R,7,6,RS
D1+D2+DU+R,8,11,RS
D1+D2+DU+R,9,12,RS
D1+D2+DU+R,10,4,RS
D1+D2+DU+R,11,0,RS
DU only,1,0,RS
DU only,2,4,RS
DU only,3,31,RS
DU only,4,17500,RS
DU only,5,55849,RS
DU only,6,60415,RS
DU only,7,14586,RS
DU only,8,1778,RS
DU only,9,495,RS
DU only,10,135,RS
DU only,11,27,RS
R+DU,1,0,RS
R+DU,2,0,RS
R+DU,3,0,RS
R+DU,4,7,RS
R+DU,5,24,RS
R+DU,6,26,RS
R+DU,7,9,RS
R+DU,8,13,RS
R+DU,9,4,RS
R+DU,10,1,RS
R+DU,11,0,RS
(D1+D2) only,1,34,SC
(D1+D2) only,2,129,SC
(D1+D2) only,3,279965,SC
(D1+D2) only,4,946708,SC
(D1+D2) only,5,819759,SC
(D1+D2) only,6,599161,SC
(D1+D2) only,7,517375,SC
(D1+D2) only,8,279935,SC
(D1+D2) only,9,76588,SC
(D1+D2) only,10,30285,SC
(D1+D2) only,11,5767,SC
(D1+D2+DU) only,1,0,SC
(D1+D2+DU) only,2,0,SC
(D1+D2+DU) only,3,7,SC
(D1+D2+DU) only,4,421,SC
(D1+D2+DU) only,5,709,SC
(D1+D2+DU) only,6,639,SC
(D1+D2+DU) only,7,374,SC
(D1+D2+DU) only,8,1618,SC
(D1+D2+DU) only,9,5968,SC
(D1+D2+DU) only,10,2435,SC
(D1+D2+DU) only,11,382,SC
(D1+D2+R) only,1,2,SC
(D1+D2+R) only,2,3,SC
(D1+D2+R) only,3,260,SC
(D1+D2+R) only,4,102388,SC
(D1+D2+R) only,5,158105,SC
(D1+D2+R) only,6,196018,SC
(D1+D2+R) only,7,282874,SC
(D1+D2+R) only,8,320787,SC
(D1+D2+R) only,9,220131,SC
(D1+D2+R) only,10,72795,SC
(D1+D2+R) only,11,11013,SC
(D1+DU) only,1,0,SC
(D1+DU) only,2,0,SC
(D1+DU) only,3,15,SC
(D1+DU) only,4,48,SC
(D1+DU) only,5,61,SC
(D1+DU) only,6,85,SC
(D1+DU) only,7,24,SC
(D1+DU) only,8,42,SC
(D1+DU) only,9,88,SC
(D1+DU) only,10,24,SC
(D1+DU) only,11,3,SC
(D1+R) only,1,1,SC
(D1+R) only,2,4,SC
(D1+R) only,3,1653,SC
(D1+R) only,4,3411,SC
(D1+R) only,5,3858,SC
(D1+R) only,6,3883,SC
(D1+R) only,7,4868,SC
(D1+R) only,8,6071,SC
(D1+R) only,9,4667,SC
(D1+R) only,10,2235,SC
(D1+R) only,11,442,SC
(D2+DU) only,1,0,SC
(D2+DU) only,2,0,SC
(D2+DU) only,3,3,SC
(D2+DU) only,4,59,SC
(D2+DU) only,5,186,SC
(D2+DU) only,6,251,SC
(D2+DU) only,7,44,SC
(D2+DU) only,8,42,SC
(D2+DU) only,9,33,SC
(D2+DU) only,10,15,SC
(D2+DU) only,11,4,SC
(D2+R+DU) only,1,0,SC
(D2+R+DU) only,2,0,SC
(D2+R+DU) only,3,0,SC
(D2+R+DU) only,4,5,SC
(D2+R+DU) only,5,8,SC
(D2+R+DU) only,6,23,SC
(D2+R+DU) only,7,2,SC
(D2+R+DU) only,8,0,SC
(D2+R+DU) only,9,2,SC
(D2+R+DU) only,10,0,SC
(D2+R+DU) only,11,0,SC
(R+DU) only,1,0,SC
(R+DU) only,2,0,SC
(R+DU) only,3,3,SC
(R+DU) only,4,8247,SC
(R+DU) only,5,26640,SC
(R+DU) only,6,51408,SC
(R+DU) only,7,7685,SC
(R+DU) only,8,461,SC
(R+DU) only,9,104,SC
(R+DU) only,10,18,SC
(R+DU) only,11,5,SC
D1 only,1,71,SC
D1 only,2,62316,SC
D1 only,3,188776,SC
D1 only,4,254128,SC
D1 only,5,154664,SC
D1 only,6,80858,SC
D1 only,7,46913,SC
D1 only,8,21245,SC
D1 only,9,6962,SC
D1 only,10,4316,SC
D1 only,11,847,SC
D1+D2+DU+R,1,0,SC
D1+D2+DU+R,2,0,SC
D1+D2+DU+R,3,0,SC
D1+D2+DU+R,4,4,SC
D1+D2+DU+R,5,5,SC
D1+D2+DU+R,6,13,SC
D1+D2+DU+R,7,9,SC
D1+D2+DU+R,8,10,SC
D1+D2+DU+R,9,3,SC
D1+D2+DU+R,10,0,SC
D1+D2+DU+R,11,0,SC
DU only,1,3,SC
DU only,2,5,SC
DU only,3,30,SC
DU only,4,12665,SC
DU only,5,31382,SC
DU only,6,83886,SC
DU only,7,16860,SC
DU only,8,1741,SC
DU only,9,596,SC
DU only,10,148,SC
DU only,11,35,SC
R+DU,1,0,SC
R+DU,2,0,SC
R+DU,3,0,SC
R+DU,4,3,SC
R+DU,5,10,SC
R+DU,6,22,SC
R+DU,7,8,SC
R+DU,8,11,SC
R+DU,9,2,SC
R+DU,10,0,SC
R+DU,11,0,SC
(D1+D2) only,1,4,SE
(D1+D2) only,2,70,SE
(D1+D2) only,3,119778,SE
(D1+D2) only,4,276058,SE
(D1+D2) only,5,208456,SE
(D1+D2) only,6,166543,SE
(D1+D2) only,7,124244,SE
(D1+D2) only,8,57361,SE
(D1+D2) only,9,22053,SE
(D1+D2) only,10,9417,SE
(D1+D2) only,11,2355,SE
(D1+D2+DU) only,1,0,SE
(D1+D2+DU) only,2,0,SE
(D1+D2+DU) only,3,1,SE
(D1+D2+DU) only,4,45,SE
(D1+D2+DU) only,5,81,SE
(D1+D2+DU) only,6,55,SE
(D1+D2+DU) only,7,40,SE
(D1+D2+DU) only,8,7,SE
(D1+D2+DU) only,9,1,SE
(D1+D2+DU) only,10,0,SE
(D1+D2+DU) only,11,1,SE
(D1+D2+R) only,1,0,SE
(D1+D2+R) only,2,0,SE
(D1+D2+R) only,3,64,SE
(D1+D2+R) only,4,32658,SE
(D1+D2+R) only,5,52138,SE
(D1+D2+R) only,6,67348,SE
(D1+D2+R) only,7,72521,SE
(D1+D2+R) only,8,77449,SE
(D1+D2+R) only,9,52518,SE
(D1+D2+R) only,10,18807,SE
(D1+D2+R) only,11,4171,SE
(D1+DU) only,1,0,SE
(D1+DU) only,2,0,SE
(D1+DU) only,3,1,SE
(D1+DU) only,4,6,SE
(D1+DU) only,5,15,SE
(D1+DU) only,6,7,SE
(D1+DU) only,7,6,SE
(D1+DU) only,8,3,SE
(D1+DU) only,9,0,SE
(D1+DU) only,10,0,SE
(D1+DU) only,11,0,SE
(D1+R) only,1,0,SE
(D1+R) only,2,1,SE
(D1+R) only,3,401,SE
(D1+R) only,4,1445,SE
(D1+R) only,5,1782,SE
(D1+R) only,6,2445,SE
(D1+R) only,7,2704,SE
(D1+R) only,8,2484,SE
(D1+R) only,9,1924,SE
(D1+R) only,10,1017,SE
(D1+R) only,11,183,SE
(D2+DU) only,1,0,SE
(D2+DU) only,2,0,SE
(D2+DU) only,3,0,SE
(D2+DU) only,4,26,SE
(D2+DU) only,5,143,SE
(D2+DU) only,6,37,SE
(D2+DU) only,7,8,SE
(D2+DU) only,8,1,SE
(D2+DU) only,9,0,SE
(D2+DU) only,10,0,SE
(D2+DU) only,11,0,SE
(D2+R+DU) only,1,0,SE
(D2+R+DU) only,2,0,SE
(D2+R+DU) only,3,0,SE
(D2+R+DU) only,4,2,SE
(D2+R+DU) only,5,4,SE
(D2+R+DU) only,6,4,SE
(D2+R+DU) only,7,0,SE
(D2+R+DU) only,8,0,SE
(D2+R+DU) only,9,0,SE
(D2+R+DU) only,10,0,SE
(D2+R+DU) only,11,0,SE
(R+DU) only,1,0,SE
(R+DU) only,2,0,SE
(R+DU) only,3,0,SE
(R+DU) only,4,1423,SE
(R+DU) only,5,7119,SE
(R+DU) only,6,6010,SE
(R+DU) only,7,1103,SE
(R+DU) only,8,46,SE
(R+DU) only,9,8,SE
(R+DU) only,10,4,SE
(R+DU) only,11,0,SE
D1 only,1,13,SE
D1 only,2,23401,SE
D1 only,3,61785,SE
D1 only,4,87849,SE
D1 only,5,52483,SE
D1 only,6,36444,SE
D1 only,7,23608,SE
D1 only,8,9532,SE
D1 only,9,4017,SE
D1 only,10,2237,SE
D1 only,11,587,SE
D1+D2+DU+R,1,0,SE
D1+D2+DU+R,2,0,SE
D1+D2+DU+R,3,0,SE
D1+D2+DU+R,4,0,SE
D1+D2+DU+R,5,3,SE
D1+D2+DU+R,6,4,SE
D1+D2+DU+R,7,0,SE
D1+D2+DU+R,8,1,SE
D1+D2+DU+R,9,1,SE
D1+D2+DU+R,10,0,SE
D1+D2+DU+R,11,0,SE
DU only,1,0,SE
DU only,2,1,SE
DU only,3,2,SE
DU only,4,1242,SE
DU only,5,7374,SE
DU only,6,9928,SE
DU only,7,2529,SE
DU only,8,180,SE
DU only,9,33,SE
DU only,10,7,SE
DU only,11,1,SE
R+DU,1,0,SE
R+DU,2,0,SE
R+DU,3,1,SE
R+DU,4,1,SE
R+DU,5,2,SE
R+DU,6,3,SE
R+DU,7,1,SE
R+DU,8,0,SE
R+DU,9,0,SE
R+DU,10,0,SE
R+DU,11,0,SE
"",1,0,SP
"",2,0,SP
"",3,1,SP
"",4,0,SP
"",5,0,SP
"",6,0,SP
"",7,0,SP
"",8,1,SP
"",9,0,SP
"",10,0,SP
"",11,0,SP
(D1+D2) only,1,338,SP
(D1+D2) only,2,1577,SP
(D1+D2) only,3,2326365,SP
(D1+D2) only,4,5405480,SP
(D1+D2) only,5,4498377,SP
(D1+D2) only,6,3735222,SP
(D1+D2) only,7,2783158,SP
(D1+D2) only,8,1493016,SP
(D1+D2) only,9,431216,SP
(D1+D2) only,10,278935,SP
(D1+D2) only,11,44390,SP
(D1+D2+DU) only,1,0,SP
(D1+D2+DU) only,2,0,SP
(D1+D2+DU) only,3,388,SP
(D1+D2+DU) only,4,52,SP
(D1+D2+DU) only,5,86,SP
(D1+D2+DU) only,6,71,SP
(D1+D2+DU) only,7,55,SP
(D1+D2+DU) only,8,22,SP
(D1+D2+DU) only,9,24,SP
(D1+D2+DU) only,10,7,SP
(D1+D2+DU) only,11,3,SP
(D1+D2+R) only,1,21,SP
(D1+D2+R) only,2,39,SP
(D1+D2+R) only,3,2222,SP
(D1+D2+R) only,4,1312504,SP
(D1+D2+R) only,5,1764229,SP
(D1+D2+R) only,6,2101643,SP
(D1+D2+R) only,7,2399512,SP
(D1+D2+R) only,8,2431947,SP
(D1+D2+R) only,9,1650221,SP
(D1+D2+R) only,10,538676,SP
(D1+D2+R) only,11,109874,SP
(D1+DU) only,1,0,SP
(D1+DU) only,2,2,SP
(D1+DU) only,3,45,SP
(D1+DU) only,4,61,SP
(D1+DU) only,5,127,SP
(D1+DU) only,6,118,SP
(D1+DU) only,7,31,SP
(D1+DU) only,8,7,SP
(D1+DU) only,9,1,SP
(D1+DU) only,10,1,SP
(D1+DU) only,11,0,SP
(D1+R) only,1,1,SP
(D1+R) only,2,1,SP
(D1+R) only,3,394,SP
(D1+R) only,4,16983,SP
(D1+R) only,5,23198,SP
(D1+R) only,6,27219,SP
(D1+R) only,7,31066,SP
(D1+R) only,8,29082,SP
(D1+R) only,9,12135,SP
(D1+R) only,10,5308,SP
(D1+R) only,11,953,SP
(D2+DU) only,1,0,SP
(D2+DU) only,2,0,SP
(D2+DU) only,3,8,SP
(D2+DU) only,4,11,SP
(D2+DU) only,5,117,SP
(D2+DU) only,6,97,SP
(D2+DU) only,7,8,SP
(D2+DU) only,8,2,SP
(D2+DU) only,9,0,SP
(D2+DU) only,10,0,SP
(D2+DU) only,11,0,SP
(D2+R) only,1,0,SP
(D2+R) only,2,0,SP
(D2+R) only,3,0,SP
(D2+R) only,4,0,SP
(D2+R) only,5,0,SP
(D2+R) only,6,0,SP
(D2+R) only,7,0,SP
(D2+R) only,8,1,SP
(D2+R) only,9,1,SP
(D2+R) only,10,0,SP
(D2+R) only,11,0,SP
(D2+R+DU) only,1,0,SP
(D2+R+DU) only,2,0,SP
(D2+R+DU) only,3,0,SP
(D2+R+DU) only,4,5,SP
(D2+R+DU) only,5,17,SP
(D2+R+DU) only,6,14,SP
(D2+R+DU) only,7,3,SP
(D2+R+DU) only,8,1,SP
(D2+R+DU) only,9,2,SP
(D2+R+DU) only,10,0,SP
(D2+R+DU) only,11,1,SP
(R+DU) only,1,1,SP
(R+DU) only,2,3,SP
(R+DU) only,3,31,SP
(R+DU) only,4,29378,SP
(R+DU) only,5,253756,SP
(R+DU) only,6,227939,SP
(R+DU) only,7,22083,SP
(R+DU) only,8,1479,SP
(R+DU) only,9,280,SP
(R+DU) only,10,78,SP
(R+DU) only,11,8,SP
D1 only,1,659,SP
D1 only,2,973855,SP
D1 only,3,1105153,SP
D1 only,4,1460530,SP
D1 only,5,696319,SP
D1 only,6,443882,SP
D1 only,7,272534,SP
D1 only,8,163918,SP
D1 only,9,71753,SP
D1 only,10,44628,SP
D1 only,11,11559,SP
D1+D2+DU+R,1,0,SP
D1+D2+DU+R,2,0,SP
D1+D2+DU+R,3,1,SP
D1+D2+DU+R,4,53,SP
D1+D2+DU+R,5,52,SP
D1+D2+DU+R,6,71,SP
D1+D2+DU+R,7,57,SP
D1+D2+DU+R,8,51,SP
D1+D2+DU+R,9,142,SP
D1+D2+DU+R,10,19,SP
D1+D2+DU+R,11,4,SP
D2 only,1,0,SP
D2 only,2,0,SP
D2 only,3,0,SP
D2 only,4,3,SP
D2 only,5,0,SP
D2 only,6,0,SP
D2 only,7,5,SP
D2 only,8,0,SP
D2 only,9,0,SP
D2 only,10,1,SP
D2 only,11,0,SP
DR only,1,0,SP
DR only,2,0,SP
DR only,3,0,SP
DR only,4,2,SP
DR only,5,0,SP
DR only,6,2,SP
DR only,7,0,SP
DR only,8,2,SP
DR only,9,2,SP
DR only,10,1,SP
DR only,11,0,SP
DU only,1,7,SP
DU only,2,54,SP
DU only,3,124,SP
DU only,4,44946,SP
DU only,5,270115,SP
DU only,6,259964,SP
DU only,7,43833,SP
DU only,8,7509,SP
DU only,9,1603,SP
DU only,10,407,SP
DU only,11,70,SP
R+DU,1,0,SP
R+DU,2,0,SP
R+DU,3,2,SP
R+DU,4,19,SP
R+DU,5,52,SP
R+DU,6,74,SP
R+DU,7,8,SP
R+DU,8,1,SP
R+DU,9,1,SP
R+DU,10,2,SP
R+DU,11,0,SP
(D1+D2) only,1,0,TO
(D1+D2) only,2,32,TO
(D1+D2) only,3,78033,TO
(D1+D2) only,4,168467,TO
(D1+D2) only,5,137519,TO
(D1+D2) only,6,118414,TO
(D1+D2) only,7,84605,TO
(D1+D2) only,8,43304,TO
(D1+D2) only,9,16208,TO
(D1+D2) only,10,7537,TO
(D1+D2) only,11,1783,TO
(D1+D2+DU) only,1,0,TO
(D1+D2+DU) only,2,0,TO
(D1+D2+DU) only,3,0,TO
(D1+D2+DU) only,4,4,TO
(D1+D2+DU) only,5,2,TO
(D1+D2+DU) only,6,3,TO
(D1+D2+DU) only,7,3,TO
(D1+D2+DU) only,8,0,TO
(D1+D2+DU) only,9,0,TO
(D1+D2+DU) only,10,0,TO
(D1+D2+DU) only,11,0,TO
(D1+D2+R) only,1,0,TO
(D1+D2+R) only,2,0,TO
(D1+D2+R) only,3,69,TO
(D1+D2+R) only,4,18937,TO
(D1+D2+R) only,5,28290,TO
(D1+D2+R) only,6,34128,TO
(D1+D2+R) only,7,36111,TO
(D1+D2+R) only,8,45247,TO
(D1+D2+R) only,9,31700,TO
(D1+D2+R) only,10,12138,TO
(D1+D2+R) only,11,2084,TO
(D1+DU) only,1,0,TO
(D1+DU) only,2,0,TO
(D1+DU) only,3,0,TO
(D1+DU) only,4,9,TO
(D1+DU) only,5,8,TO
(D1+DU) only,6,9,TO
(D1+DU) only,7,11,TO
(D1+DU) only,8,1,TO
(D1+DU) only,9,0,TO
(D1+DU) only,10,0,TO
(D1+DU) only,11,0,TO
(D1+R) only,1,0,TO
(D1+R) only,2,0,TO
(D1+R) only,3,336,TO
(D1+R) only,4,853,TO
(D1+R) only,5,837,TO
(D1+R) only,6,950,TO
(D1+R) only,7,989,TO
(D1+R) only,8,1101,TO
(D1+R) only,9,661,TO
(D1+R) only,10,371,TO
(D1+R) only,11,65,TO
(D2+DU) only,1,0,TO
(D2+DU) only,2,0,TO
(D2+DU) only,3,0,TO
(D2+DU) only,4,9,TO
(D2+DU) only,5,14,TO
(D2+DU) only,6,11,TO
(D2+DU) only,7,12,TO
(D2+DU) only,8,0,TO
(D2+DU) only,9,0,TO
(D2+DU) only,10,0,TO
(D2+DU) only,11,0,TO
(D2+R+DU) only,1,0,TO
(D2+R+DU) only,2,0,TO
(D2+R+DU) only,3,0,TO
(D2+R+DU) only,4,0,TO
(D2+R+DU) only,5,0,TO
(D2+R+DU) only,6,2,TO
(D2+R+DU) only,7,1,TO
(D2+R+DU) only,8,1,TO
(D2+R+DU) only,9,0,TO
(D2+R+DU) only,10,0,TO
(D2+R+DU) only,11,0,TO
(R+DU) only,1,0,TO
(R+DU) only,2,0,TO
(R+DU) only,3,1,TO
(R+DU) only,4,1541,TO
(R+DU) only,5,2859,TO
(R+DU) only,6,3697,TO
(R+DU) only,7,2031,TO
(R+DU) only,8,106,TO
(R+DU) only,9,19,TO
(R+DU) only,10,7,TO
(R+DU) only,11,1,TO
D1 only,1,4,TO
D1 only,2,8580,TO
D1 only,3,45668,TO
D1 only,4,70510,TO
D1 only,5,39905,TO
D1 only,6,25578,TO
D1 only,7,13665,TO
D1 only,8,5528,TO
D1 only,9,1963,TO
D1 only,10,1020,TO
D1 only,11,270,TO
DU only,1,0,TO
DU only,2,0,TO
DU only,3,4,TO
DU only,4,3594,TO
DU only,5,5605,TO
DU only,6,7105,TO
DU only,7,4018,TO
DU only,8,388,TO
DU only,9,94,TO
DU only,10,26,TO
DU only,11,13,TO
R+DU,1,0,TO
R+DU,2,0,TO
R+DU,3,0,TO
R+DU,4,5,TO
R+DU,5,4,TO
R+DU,6,7,TO
R+DU,7,2,TO
R+DU,8,1,TO
R+DU,9,0,TO
R+DU,10,0,TO
R+DU,11,0,TO
